hdi_ranking;neighbourhood;per_capita_income_2000;longevity_index;education_index;income_index;human_development_index
79;Turiaçu;336,5730368;0,751862691;0,939603873;0,744092063;0,811852876
80;Guadalupe;336,8857091;0,751862691;0,933732283;0,744247056;0,809947343
81;Inhaúma;324,3011445;0,760675497;0,931122709;0,737892301;0,809896836
82;Campo Grande;351,1104335;0,746636255;0,931254319;0,751150281;0,809680285
83;Cavalcanti, Engenheiro Leal, Vaz Lobo;328,6355334;0,756816267;0,924195746;0,740108433;0,807040149
84;Ricardo de Albuquerque;282,9963271;0,766235711;0,939702602;0,715151667;0,807029993
85;Coelho Neto;299,8926017;0,764375222;0,928436835;0,724831306;0,805881121
86;Padre Miguel;313,846169;0,751862691;0,928830179;0,732422478;0,804371783
87;Penha;373,0455208;0,743216592;0,908271912;0,761265435;0,804251313
88;Honório Gurgel;303,9787741;0,747944521;0,937342711;0,72709028;0,804125837
89;Realengo;316,4082725;0,743913268;0,931268456;0,73377959;0,802987105
90;Senador Vasconcelos;302,4393807;0,744682451;0,934806023;0,726242836;0,801910437
91;Tomás Coelho;325,9158784;0,747944521;0,91862228;0,738721342;0,801762714
92;Magalhães Bastos;318,0276528;0,731633653;0,93889913;0,734631697;0,801721494
93;Catumbi;324,8307782;0,743335878;0,92346158;0,738164681;0,801654047
94;Mangueira, São Francisco Xavier;357,4286891;0,722350463;0,922994071;0,75412727;0,799823935
95;Vista Alegre, Irajá;473,3935622;0,630220004;0,963843493;0,801029673;0,79836439
96;Bangu;296,5458541;0,746274342;0,912853659;0,722958063;0,794028688
97;Saúde, Gamboa, Santo Cristo;320,569673;0,75462545;0,886451493;0,73596058;0,792345841
98;Cordovil;290,4923023;0,721923479;0,931920638;0,719515422;0,791119846
99;Pavuna;286,3762031;0,737757882;0,914759769;0,717133384;0,789883678
100;Anchieta;278,1803115;0,731633653;0,920161829;0,712286623;0,788027368
101;Santíssimo;256,0816473;0,739295027;0,903382943;0,698470316;0,780382762
102;Galeão, Cidade Universitária;300,3113905;0,713246667;0,894971773;0,725064238;0,777760893
103;Vicente de Carvalho;296,6266082;0,708515316;0,886955325;0,723003511;0,772824717
104;Jacarepaguá;331,4377854;0,708515316;0,85832482;0,741525694;0,769455277
105;Senador Camará;251,0941236;0,706504765;0,903090098;0,695187302;0,768260722
106;Gardênia Azul;274,6779647;0,713246667;0,879853008;0,710171754;0,767757143
107;Vigário Geral;296,6017537;0,694412264;0,872589644;0,722989524;0,763330477
108;Colégio;262,3692222;0,705545045;0,877894203;0,702519143;0,76198613
109;Sepetiba;264,795572;0,688297192;0,889728869;0,704055678;0,760693913
110;Cosmos;205,9024582;0,708515316;0,906262228;0,66206661;0,758948051
111;Caju;236,5904318;0,731633653;0,842727845;0,685256142;0,75320588
112;Paciência;203,432038;0,694412264;0,899137667;0,660051819;0,751200583
113;Cidade de Deus;207,5571038;0,694412264;0,894030397;0,663402611;0,750615091
114;Barros Filho;198,9626157;0,694412264;0,897828651;0,656343737;0,749528217
